name;prop;#initonly;#finalOnly;#noChange;#change;#tool;#method;#time;mem MB;#ans
5Epoch.gml;((((((WP(32-35) | WP(6-35)) | WP(11-35)) | WP(13-35)) | WP(16-35)) | WP(23-35)) & (Reach 35));11;11;7;6;kaki;base;0.6373333333333333;209.95466666666667;True
5Ernet.gml;(((((((((WP(161-168) | WP(2-168)) | WP(78-168)) | WP(111-168)) | WP(147-168)) | WP(52-168)) | WP(88-168)) | WP(59-168)) | WP(152-168)) & (Reach 168));6;6;30;6;kaki;base;0.307;96.16266666666667;True
5Fatman.gml;((((((((((((((WP(36-91) | WP(70-91)) | WP(6-91)) | WP(40-91)) | WP(73-91)) | WP(91-91)) | WP(10-91)) | WP(45-91)) | WP(85-91)) | WP(56-91)) | WP(27-91)) | WP(60-91)) | WP(29-91)) | WP(95-91)) & (Reach 91));6;12;24;6;kaki;base;0.3566666666666667;98.93599999999999;True
5Fccn.gml;((((((((((((((WP(65-134) | WP(98-134)) | WP(100-134)) | WP(68-134)) | WP(134-134)) | WP(135-134)) | WP(75-134)) | WP(19-134)) | WP(20-134)) | WP(54-134)) | WP(91-134)) | WP(28-134)) | WP(125-134)) | WP(31-134)) & (Reach 134));0;6;30;6;kaki;base;0.355;93.60533333333335;True
5Forthnet.gml;((((((((((((((((((WP(32-363) | WP(65-363)) | WP(131-363)) | WP(291-363)) | WP(229-363)) | WP(166-363)) | WP(255-363)) | WP(104-363)) | WP(331-363)) | WP(365-363)) | WP(206-363)) | WP(239-363)) | WP(84-363)) | WP(117-363)) | WP(342-363)) | WP(55-363)) | WP(189-363)) | WP(127-363)) & (Reach 363));0;6;42;6;kaki;base;3.497;364.5346666666667;True
5Funet.gml;(((((((((((((((((((((((WP(3-151) | WP(133-151)) | WP(139-151)) | WP(21-151)) | WP(23-151)) | WP(151-151)) | WP(153-151)) | WP(32-151)) | WP(35-151)) | WP(46-151)) | WP(49-151)) | WP(59-151)) | WP(61-151)) | WP(74-151)) | WP(75-151)) | WP(87-151)) | WP(90-151)) | WP(101-151)) | WP(103-151)) | WP(106-151)) | WP(113-151)) | WP(117-151)) | WP(127-151)) & (Reach 151));42;48;12;6;kaki;base;14.37;662.4933333333333;True
5Gambia.gml;((((((((((((((((((((((WP(3-159) | WP(133-159)) | WP(143-159)) | WP(19-159)) | WP(25-159)) | WP(154-159)) | WP(159-159)) | WP(165-159)) | WP(43-159)) | WP(46-159)) | WP(49-159)) | WP(54-159)) | WP(72-159)) | WP(74-159)) | WP(76-159)) | WP(82-159)) | WP(100-159)) | WP(103-159)) | WP(104-159)) | WP(111-159)) | WP(114-159)) | WP(127-159)) & (Reach 159));6;18;42;6;kaki;base;9.790333333333335;467.5133333333333;True
5Garr200212.gml;(((((WP(135-154) | WP(108-154)) | WP(81-154)) | WP(54-154)) | WP(27-154)) & (Reach 154));6;6;18;6;kaki;base;0.2956666666666667;90.79866666666668;True
5Garr201010.gml;(((((((((((((((((((WP(128-333) | WP(12-333)) | WP(32-333)) | WP(162-333)) | WP(290-333)) | WP(165-333)) | WP(298-333)) | WP(181-333)) | WP(310-333)) | WP(312-333)) | WP(186-333)) | WP(66-333)) | WP(68-333)) | WP(74-333)) | WP(212-333)) | WP(86-333)) | WP(232-333)) | WP(234-333)) | WP(236-333)) & (Reach 333));17;22;25;6;kaki;base;6.4623333333333335;493.5253333333333;True
5Garr201012.gml;(((((((((((((((((((WP(128-333) | WP(12-333)) | WP(32-333)) | WP(162-333)) | WP(290-333)) | WP(165-333)) | WP(298-333)) | WP(181-333)) | WP(310-333)) | WP(312-333)) | WP(186-333)) | WP(66-333)) | WP(68-333)) | WP(74-333)) | WP(212-333)) | WP(86-333)) | WP(232-333)) | WP(234-333)) | WP(236-333)) & (Reach 333));17;22;25;6;kaki;base;6.494;496.31733333333335;True
